code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2020-04-25,2019-12-31,0.174524,0.113890,0.052924,0.054054,0.053600
sh.600004,2020-04-28,2019-12-31,0.043101,-0.076036,-0.090639,-0.127273,-0.114517
sh.600006,2020-04-29,2019-12-31,0.036995,-0.041305,-0.246555,-0.201156,-0.201215
sh.600007,2020-04-28,2019-12-31,0.094014,0.063979,0.254822,0.259740,0.255309
sh.600008,2020-04-02,2019-12-31,0.213874,0.157773,0.338263,0.163561,0.332194
sh.600009,2020-03-28,2019-12-31,0.133060,0.201835,0.187185,0.186364,0.188773
sh.600010,2020-04-30,2019-12-31,0.004551,-0.011519,-0.731475,-0.835616,-0.799044
sh.600011,2020-04-01,2019-12-31,0.184106,0.025171,-0.012251,-0.142857,0.172063
sh.600012,2020-03-30,2019-12-31,0.066327,0.077111,-0.034138,-0.022744,-0.022703
sh.600015,2020-04-17,2019-12-31,0.232324,0.126916,0.053798,-0.121795,0.050398
sh.600016,2020-03-31,2019-12-31,0.235128,0.114602,0.091278,0.070175,0.069386
sh.600017,2020-03-24,2019-12-31,0.049307,0.080221,-0.028254,0.000000,-0.020223
sh.600018,2020-04-10,2019-12-31,,,-0.134778,-0.117952,-0.118142
sh.600019,2020-04-29,2019-12-31,0.006483,0.011264,-0.415516,-0.416667,-0.420795
sh.600020,2020-04-30,2019-12-31,0.089921,-0.026619,0.826590,1.789961,0.827918
sh.600021,2020-03-31,2019-12-31,0.184295,0.116927,-0.406224,-0.674953,-0.650338
sh.600022,2020-03-20,2019-12-31,0.028827,-0.032991,-0.612740,-0.725052,-0.725123
sh.600023,2020-04-28,2019-12-31,0.048559,0.011609,0.133775,0.066667,0.063821
sh.600025,2020-04-25,2019-12-31,0.242815,-0.005381,-0.018813,-0.037500,-0.044490
sh.600026,2020-03-31,2019-12-31,-0.002373,0.038249,1.128567,3.099617,3.105417
sh.600027,2020-03-26,2019-12-31,0.173951,0.015224,0.922851,0.812500,0.974379
sh.600028,2020-03-30,2019-12-31,0.028975,0.102218,-0.101720,-0.086372,-0.087147
sh.600029,2020-03-31,2019-12-31,-0.017538,0.243218,-0.104456,-0.214286,-0.111297
sh.600030,2020-03-20,2019-12-31,0.055403,0.212192,0.280669,0.311688,0.302316
sh.600031,2020-04-24,2019-12-31,0.410866,0.227267,0.823506,0.719363,0.832265
sh.600033,2020-04-07,2019-12-31,0.046002,-0.007311,0.127830,0.111111,0.128239
sh.600035,2020-06-30,2019-12-31,0.052881,0.228875,0.438278,0.423077,0.434419
sh.600036,2020-03-21,2019-12-31,0.131792,0.099546,0.155953,0.156550,0.152768
sh.600037,2020-04-29,2019-12-31,0.029371,0.022027,-0.161774,-0.161788,-0.161774
sh.600038,2020-03-31,2019-12-31,0.059236,0.095534,0.152768,0.152709,0.152617
sh.600039,2020-04-30,2019-12-31,0.114246,0.133828,0.406551,0.468750,0.452431
sh.600048,2020-04-16,2019-12-31,0.279681,0.220574,0.436146,0.477987,0.479022
sh.600050,2020-03-24,2019-12-31,0.022712,0.041473,0.211110,0.219697,0.220868
sh.600051,2020-03-17,2019-12-31,0.114290,0.202710,-0.193915,0.287500,0.288003
sh.600052,2020-04-30,2019-12-31,0.470738,-0.409074,9.399100,9.071429,9.399100
sh.600053,2020-04-21,2019-12-31,0.206595,-0.344784,3.123954,6.765831,6.764949
sh.600054,2020-04-25,2019-12-31,0.067748,0.056228,-0.399062,-0.410256,-0.416002
sh.600055,2020-04-29,2019-12-31,0.063365,0.052010,0.105955,0.107143,0.101421
sh.600056,2020-04-22,2019-12-31,0.064272,0.177105,-0.310686,-0.364649,-0.364627
sh.600057,2020-04-15,2019-12-31,0.121961,0.201201,0.008680,0.125000,0.108440
sh.600058,2020-03-31,2019-12-31,0.007673,-0.009340,1.207365,1.025734,1.216384
sh.600059,2020-04-18,2019-12-31,0.028921,0.037225,0.220346,0.238095,0.218503
sh.600060,2020-04-30,2019-12-31,0.034579,-0.004233,0.475754,0.433333,0.417092
sh.600061,2020-03-27,2019-12-31,0.073337,0.145691,0.728255,0.750000,0.766940
sh.600062,2020-03-21,2019-12-31,0.097270,0.094186,0.077825,0.089401,0.089336
sh.600063,2020-04-10,2019-12-31,0.111704,0.015619,1.958542,1.857143,1.959046
sh.600064,2020-04-30,2019-12-31,0.266506,0.119906,0.752779,0.922581,0.922074
sh.600066,2020-03-31,2019-12-31,0.054048,-0.004879,-0.157903,-0.158416,-0.156976
sh.600067,2020-03-25,2019-12-31,-0.033477,0.029016,-0.385874,-0.431373,-0.448143
sh.600068,2020-04-01,2019-12-31,0.227318,0.074489,0.101296,0.165727,0.168339
sh.600069,2020-04-29,2019-12-31,-0.316800,-0.042333,-5.425730,-6.201465,-6.199835
sh.600070,2020-04-28,2019-12-31,0.203350,0.148221,0.910748,1.285714,1.239400
sh.600071,2020-04-14,2019-12-31,-0.082533,0.261230,-1.222156,-0.800000,-0.812606
sh.600072,2020-04-22,2019-12-31,0.044217,-0.126501,4.474094,1.101124,1.105399
sh.600073,2020-04-30,2019-12-31,-0.040744,0.095570,0.461493,0.218750,0.203797
sh.600074,2020-03-13,2019-12-31,-0.184609,-0.123030,0.478476,0.449275,0.448123
