code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2020-10-31,2020-09-30,0.079413,0.303837,,45190000000.000000,1.884122,,29352134127.00,29352134127.00
sh.600004,2020-10-31,2020-09-30,-0.018528,-0.075903,-0.025636,-285486472.210000,0.173239,,2069320514.00,2069320514.00
sh.600006,2020-10-30,2020-09-30,0.064629,0.048998,0.130848,495226591.860000,0.300328,,2000000000.00,2000000000.00
sh.600007,2020-10-31,2020-09-30,0.079697,0.274268,0.536446,612926855.000000,0.884990,,1007282534.00,1007282534.00
sh.600008,2020-10-31,2020-09-30,0.040582,0.090092,0.319685,1042934719.270000,0.179949,,7340590677.00,7340590677.00
sh.600009,2020-10-31,2020-09-30,-0.023885,-0.201227,-0.420042,-691794300.750000,1.009316,,1926958448.00,1093476397.00
sh.600010,2020-10-30,2020-09-30,0.003167,0.008303,0.128540,360253869.980000,-0.007760,,45585032648.00,31677211587.00
sh.600011,2020-10-28,2020-09-30,0.080940,0.092089,0.195928,11218568159.000000,0.345670,,15698093359.00,10997709919.00
sh.600012,2020-10-30,2020-09-30,0.044623,0.237822,0.414342,414924621.980000,0.442175,,1658610000.00,1165600000.00
sh.600015,2020-10-31,2020-09-30,0.052199,0.202281,,14293000000.000000,1.345207,,15387223983.00,12822686653.00
sh.600016,2020-10-31,2020-09-30,0.070994,0.264393,,37893000000.000000,1.041948,,43782418502.00,35462123213.00
sh.600017,2020-10-30,2020-09-30,0.049530,0.157317,0.290201,686022270.180000,0.225749,,3075653888.00,3075653888.00
sh.600018,2020-10-31,2020-09-30,0.071876,0.351054,0.402487,6745459022.130000,0.367994,,23173674650.00,23173674650.00
sh.600019,2020-10-30,2020-09-30,0.043869,0.043662,0.108101,8733347054.870000,0.505723,,22271288125.00,22155982625.00
sh.600020,2020-10-31,2020-09-30,0.010354,0.036195,0.311841,128155708.090000,0.115757,,2247371832.00,2247371832.00
sh.600021,2020-10-30,2020-09-30,0.061924,0.124693,0.282196,2253345741.080000,0.480577,,2617164197.00,2347246305.00
sh.600022,2020-10-30,2020-09-30,0.028145,0.018065,0.064396,1154732813.240000,0.061888,,10946549616.00,10946549616.00
sh.600023,2020-10-30,2020-09-30,0.080013,0.155314,0.159754,5730601883.040000,0.431895,,13600689988.00,13600689988.00
sh.600025,2020-10-29,2020-09-30,0.074737,0.315382,0.563859,4644279445.020000,0.279255,,18000000000.00,8928000000.00
sh.600026,2020-10-30,2020-09-30,0.103617,0.265495,0.329234,3527390400.950000,0.666226,,4762691885.00,2736032861.00
sh.600027,2020-10-29,2020-09-30,0.056005,0.075628,0.161362,4826256000.000000,0.458931,,9862976653.00,8145743053.00
sh.600028,2020-10-29,2020-09-30,0.032018,0.019950,0.184153,31014000000.000000,0.312353,,121071209646.00,95557771046.00
